date,product_ID,weeks_demand,sales_Amount
2021-12-02,1993XX,2366.50000,198197.3331250000
2021-12-02,1994XX,1280.00000,576686.9376000000
2021-12-02,1995XX,0.00000,0.0000000000
2021-12-02,2013XX,210.00000,30206.4420000000
2021-12-02,2016ZX,225.00000,60147.8887500000
2021-12-02,2021ZX,4.00000,1181.0986800000
2021-12-02,2025XX,67.00000,29667.9350000000
2021-12-02,2039ZX,0.00000,0.0000000000
2021-12-02,2041ZX,33.00000,21397.8600000000
2021-12-02,2044ZX,3.00000,2222.4600000000
2021-12-02,2053YX,5.00000,6064.3444500000
2021-12-02,2054XX,0.00000,0.0000000000
2021-12-02,2054ZX,0.00000,0.0000000000
2021-12-02,2060XX,1.00000,1101.1500000000
2021-12-02,2066XX,0.00000,0.0000000000
2021-12-02,2078ZX,0.00000,0.0000000000
2021-12-02,2096XX,0.00000,0.0000000000
2021-12-02,2096YX,0.00000,0.0000000000
2021-12-02,2115ZX,0.00000,0.0000000000
2021-12-02,2117YX,0.00000,0.0000000000
2021-12-02,2139YX,0.00000,0.0000000000
2021-12-02,2142ZX,4.00000,11824.0000000000
2021-12-02,2143XX,0.00000,0.0000000000
2021-12-02,2170YX,6.00000,1831.1400000000
2021-12-02,2173ZX,13.00000,5784.2200000000
2021-12-02,2189ZX,16.00000,4796.8800000000
2021-12-02,2200ZX,0.00000,0.0000000000
2021-12-02,2212XX,10.00000,7474.0500000000
2021-12-02,2212ZX,9.00000,7959.2400000000
2021-12-02,2220YX,0.00000,0.0000000000
2021-12-02,2223XX,150.00000,137805.0000000000
2021-12-02,2227XX,25.00000,18790.8750000000
2021-12-02,2229XX,1.00000,1054.2433300000
2021-12-02,2229ZX,1.00000,751.0000000000
2021-12-02,2234XX,0.00000,0.0000000000
2021-12-02,2236ZX,0.00000,0.0000000000
2021-12-02,2255ZX,0.00000,0.0000000000
2021-12-02,2265YX,0.00000,0.0000000000
2021-12-02,2267ZX,0.00000,0.0000000000
2021-12-02,2277XX,531.00000,3383.3833200000
2021-12-02,2291XX,437.00000,8196.3545200000
2021-12-02,2293XX,0.00000,0.0000000000
2021-12-02,2315YX,229.00000,3417.1838000000
2021-12-02,2317ZX,2548.67000,94980.5712624000
2021-12-02,2326ZX,1007.00000,64004.1144000000
2021-12-02,2331ZX,278.00000,58414.5248200000
2021-12-02,2336YX,519.00000,4110.8329200000
2021-12-02,2337ZX,1194.00000,2062.1096400000
2021-12-02,2342ZX,200.00000,555.3700000000
2021-12-02,2348YX,0.00000,0.0000000000
2021-12-02,2359ZX,0.00000,0.0000000000
2021-12-02,2365XX,0.00000,0.0000000000
2021-12-02,2371ZX,0.00000,0.0000000000
2021-12-02,2391ZX,0.00000,0.0000000000
2021-12-02,2396ZX,4200.00000,3211.3200000000
2021-12-02,2418ZX,0.00000,0.0000000000
2021-12-02,2422YX,0.00000,0.0000000000
2021-12-02,2429YX,0.00000,0.0000000000
2021-12-02,2449ZX,0.00000,0.0000000000
2021-12-02,2458ZX,0.00000,0.0000000000
2021-12-02,2471ZX,400.00000,1910.7920000000
2021-12-02,2473ZX,0.00000,0.0000000000
2021-12-02,2483YX,0.00000,0.0000000000
2021-12-02,2484YX,29.00000,6950.5129400000
2021-12-02,2487YX,0.00000,0.0000000000
2021-12-02,2488ZX,0.00000,0.0000000000
2021-12-02,2498YX,0.00000,0.0000000000
2021-12-02,2498ZX,0.00000,0.0000000000
2021-12-02,2501ZX,50.00000,1756.0875000000
2021-12-02,2508YX,0.00000,0.0000000000
2021-12-02,2513ZX,2.00000,9610.0600000000
2021-12-02,2515YX,67.00000,6030.0000000000
2021-12-02,2524XX,0.00000,0.0000000000
2021-12-02,2528ZX,0.00000,0.0000000000
2021-12-02,2539XX,0.00000,0.0000000000
2021-12-02,2548ZX,0.00000,0.0000000000
2021-12-02,2555ZX,0.00000,0.0000000000
2021-12-02,2564YX,120.00000,37104.6000000000
2021-12-02,2565ZX,0.00000,0.0000000000
2021-12-02,2573ZX,0.00000,0.0000000000
2021-12-02,2600YX,0.00000,0.0000000000
2021-12-02,2604ZX,0.00000,0.0000000000
2021-12-02,2606XX,8.00000,16332.1866400000
2021-12-02,2621XX,4.00000,247.1333200000
2021-12-02,2632XX,0.00000,0.0000000000
2021-12-02,2640YX,0.00000,0.0000000000
2021-12-02,2646XX,19.00000,17258.3106600000
2021-12-02,2661ZX,0.00000,0.0000000000
2021-12-02,2662ZX,0.00000,0.0000000000
2021-12-02,2670ZX,0.00000,0.0000000000
2021-12-02,2672YX,0.00000,0.0000000000
2021-12-02,2673YX,1460.00000,18980.0000000000
2021-12-02,2680YX,0.00000,0.0000000000
2021-12-02,2714ZX,2417.00000,120362.8778200000
2021-12-02,2727ZX,0.00000,0.0000000000
2021-12-02,2729XX,0.00000,0.0000000000
2021-12-02,2752XX,164.00000,12546.3280000000
2021-12-02,2763ZX,0.00000,0.0000000000
2021-12-02,2766XX,189.00000,68764.3198200000
2021-12-02,2767XX,0.00000,0.0000000000
2021-12-02,2785YX,0.00000,0.0000000000
2021-12-02,2803YX,0.00000,0.0000000000
2021-12-02,2814YX,0.00000,0.0000000000
2021-12-02,2840XX,0.00000,0.0000000000
2021-12-02,2847YX,200.00000,48358.4320000000
2021-12-02,2867XX,3.00000,892.9050000000
2021-12-02,2876ZX,5.00000,2137.1250000000
2021-12-02,2884XX,0.00000,0.0000000000
2021-12-02,2895ZX,0.00000,0.0000000000
2021-12-02,2923ZX,181.00000,3654.1311700000
2021-12-02,2925ZX,15.00000,720.0000000000
2021-12-02,2930ZX,22.00000,440.1832600000
2021-12-02,2935YX,213.00000,5004.4350000000
2021-12-02,2938ZX,2.00000,58.4120000000
2021-12-02,2953YX,0.00000,0.0000000000
2021-12-02,2953ZX,2.00000,3039.6400000000
2021-12-02,2956XX,26.00000,312.5873400000
2021-12-02,2970ZX,3.00000,1536.6150000000
2021-12-02,2977YX,22.00000,1161.6000000000
2021-12-02,2982XX,0.00000,0.0000000000
2021-12-02,2987XX,0.00000,0.0000000000
2021-12-02,2988XX,1.00000,9261.0000000000
2021-12-02,2994ZX,1.00000,12977.0000000000
2021-12-02,3003XX,2.00000,26364.0000000000
2021-12-02,3006ZX,0.00000,0.0000000000
2021-12-02,3007ZX,6.00000,112993.9800000000
2021-12-02,3016YX,0.00000,0.0000000000
2021-12-02,3025ZX,1.00000,1092.5000000000
2021-12-02,3027ZX,0.00000,0.0000000000
2021-12-02,3038YX,0.00000,0.0000000000
2021-12-02,3044XX,0.00000,0.0000000000
2021-12-02,3053XX,84.00000,3433.2043200000
2021-12-02,3075XX,4.00000,241.5200000000
2021-12-02,3075YX,20.00000,620.0000000000
2021-12-02,3079YX,45.00000,6052.5000000000
2021-12-02,3084ZX,2.00000,5539.6200000000
2021-12-02,3098XX,1.00000,3862.3200000000
2021-12-02,3120YX,9.00000,13813.9200000000
2021-12-02,3125XX,6.00000,714.8160000000
2021-12-02,3126YX,0.00000,0.0000000000
2021-12-02,3132YX,1.00000,190.0000000000
2021-12-02,3138ZX,19.00000,7146.2040000000
2021-12-02,3143ZX,4.00000,191.0560000000
2021-12-02,3160YX,19.00000,5147.2710000000
2021-12-02,3161YX,0.00000,0.0000000000
2021-12-02,3177ZX,258.75000,17971.8486750000
2021-12-02,3178ZX,0.00000,0.0000000000
2021-12-02,3180YX,0.00000,0.0000000000
2021-12-02,3193XX,13.00000,18525.0000000000
2021-12-02,3205XX,0.00000,0.0000000000
2021-12-02,3239XX,0.00000,0.0000000000
2021-12-02,3249ZX,0.00000,0.0000000000
2021-12-02,3250ZX,0.00000,0.0000000000
2021-12-02,3264ZX,0.00000,0.0000000000
2021-12-02,3271ZX,0.00000,0.0000000000
2021-12-02,3274ZX,0.00000,0.0000000000
2021-12-02,3276XX,0.00000,0.0000000000
2021-12-02,3291ZX,0.00000,0.0000000000
2021-12-02,3296XX,0.00000,0.0000000000
2021-12-02,3299ZX,0.00000,0.0000000000
2021-12-02,3300ZX,0.00000,0.0000000000
2021-12-02,3312XX,0.00000,0.0000000000
2021-12-02,3322XX,0.00000,0.0000000000
2021-12-02,3332ZX,0.00000,0.0000000000
2021-12-02,3345XX,26.00000,807.6814200000
2021-12-02,3358YX,2.00000,2727.2800000000
2021-12-02,3365ZX,1020.00000,13591.2960000000
2021-12-02,3378ZX,300.00000,450.0000000000
2021-12-02,3399XX,6.00000,1168.5180000000
2021-12-02,3404ZX,10.00000,3965.4000000000
2021-12-02,3407ZX,4.00000,4070.3680000000
2021-12-02,3413XX,54.00000,1906.2216000000
2021-12-02,3420XX,3.00000,51.7650000000
2021-12-02,3423ZX,2.00000,59.1100000000
2021-12-02,3448ZX,135.00000,880.9425000000
2021-12-02,3461ZX,78.00000,2344.9920000000
2021-12-02,3462XX,200.00000,820.0000000000
2021-12-02,3494XX,30.00000,105.0000000000
2021-12-02,3495ZX,58.00000,2310.4300000000
2021-12-02,3502YX,0.00000,0.0000000000
2021-12-02,3512XX,6500.00000,669.1750000000
2021-12-02,3533ZX,5300.00000,3411.9810000000
2021-12-02,3551ZX,100.00000,706.8310000000
2021-12-02,3556XX,0.00000,0.0000000000
2021-12-02,3570ZX,4.00000,4640.0000000000
2021-12-02,3576YX,17.00000,761.4300000000
2021-12-02,3579ZX,0.00000,0.0000000000
2021-12-02,3590YX,25.00000,2877.1250000000
2021-12-02,3610XX,2.00000,312.3200000000
2021-12-02,3616ZX,0.00000,0.0000000000
2021-12-02,3619ZX,0.00000,0.0000000000
2021-12-09,1009XX,2736.00000,78696.2793600000
2021-12-09,1077ZX,11773.00000,270516.4621000000
2021-12-09,1083XX,4700.00000,136394.0000000000
2021-12-09,1116ZX,500.00000,16400.0000000000
2021-12-09,1126ZX,32219.00000,1056783.2000000000
2021-12-09,1130XX,0.00000,0.0000000000
2021-12-09,1145YX,10.00000,853.0066000000
2021-12-09,1161XX,55.00000,7512.5875000000
2021-12-09,1163ZX,748.00000,70808.8590000000
2021-12-09,1193YX,43.00000,35045.0000000000
2021-12-09,1196XX,0.00000,0.0000000000
2021-12-09,1206YX,12.00000,2839.4970000000
2021-12-09,1214ZX,376.00000,119439.7952800000
2021-12-09,1224XX,0.00000,0.0000000000
2021-12-09,1234YX,20.00000,9960.0000000000
2021-12-09,1244XX,2180.00000,130800.0000000000
2021-12-09,1255ZX,0.00000,0.0000000000
2021-12-09,1265ZX,0.00000,0.0000000000
2021-12-09,1266ZX,0.00000,0.0000000000
2021-12-09,1281YX,0.00000,0.0000000000
2021-12-09,1283ZX,0.00000,0.0000000000
2021-12-09,1295ZX,0.00000,0.0000000000
2021-12-09,1296ZX,0.00000,0.0000000000
2021-12-09,1308YX,0.00000,0.0000000000
2021-12-09,1315YX,0.00000,0.0000000000
2021-12-09,1317YX,0.00000,0.0000000000
2021-12-09,1317ZX,2.00000,9817.4000000000
2021-12-09,1321YX,0.00000,0.0000000000
2021-12-09,1325XX,0.00000,0.0000000000
2021-12-09,1326XX,0.00000,0.0000000000
2021-12-09,1330ZX,0.00000,0.0000000000
2021-12-09,1366YX,0.00000,0.0000000000
2021-12-09,1367ZX,2.00000,44000.0000000000
2021-12-09,1373YX,0.00000,0.0000000000
2021-12-09,1374ZX,0.00000,0.0000000000
2021-12-09,1379ZX,14.00000,6862.5375000000
2021-12-09,1382ZX,17.00000,10429.8612500000
2021-12-09,1385ZX,15.00000,26723.2125000000
2021-12-09,1390YX,0.00000,0.0000000000
2021-12-09,1403ZX,0.00000,0.0000000000
2021-12-09,1420ZX,0.00000,0.0000000000
2021-12-09,1434YX,0.00000,0.0000000000
2021-12-09,1436YX,0.00000,0.0000000000
2021-12-09,1441XX,0.00000,0.0000000000
2021-12-09,1445YX,6.00000,7751.1900000000
2021-12-09,1464XX,6.00000,5055.4200000000
2021-12-09,1468XX,0.00000,0.0000000000
2021-12-09,1479ZX,11.00000,4241.1875000000
2021-12-09,1484YX,0.00000,0.0000000000
2021-12-09,1486ZX,10.00000,1907.2000000000
2021-12-09,1488YX,0.00000,0.0000000000
2021-12-09,1488ZX,0.00000,0.0000000000
2021-12-09,1491ZX,0.00000,0.0000000000
2021-12-09,1497ZX,76.00000,1270.5892800000
2021-12-09,1499XX,0.00000,0.0000000000
2021-12-09,1499ZX,2.00000,13200.0000000000
2021-12-09,1511ZX,58.00000,393.6460000000
2021-12-09,1514YX,1.00000,332.8000000000
2021-12-09,1571XX,5.00000,1600.0000000000
2021-12-09,1582ZX,0.00000,0.0000000000
2021-12-09,1584YX,1.00000,425.0000000000
2021-12-09,1586ZX,2.00000,573.1420000000
2021-12-09,1601XX,3.00000,2755.2090000000
2021-12-09,1624XX,3.00000,2166.3030000000
2021-12-09,1624ZX,2.00000,3062.7540000000
2021-12-09,1630YX,12.00000,5313.6360000000
2021-12-09,1650XX,0.00000,0.0000000000
2021-12-09,1668ZX,0.00000,0.0000000000
2021-12-09,1672XX,0.00000,0.0000000000
2021-12-09,1678ZX,0.00000,0.0000000000
2021-12-09,1681ZX,0.00000,0.0000000000
2021-12-09,1688ZX,0.00000,0.0000000000
2021-12-09,1695ZX,4.00000,6597.2000000000
2021-12-09,1698ZX,0.00000,0.0000000000
2021-12-09,1708XX,0.00000,0.0000000000
2021-12-09,1712XX,0.00000,0.0000000000
2021-12-09,1716XX,0.00000,0.0000000000
2021-12-09,1741YX,0.00000,0.0000000000
2021-12-09,1745YX,0.00000,0.0000000000
2021-12-09,1764XX,0.00000,0.0000000000
2021-12-09,1766ZX,0.00000,0.0000000000
2021-12-09,1767ZX,0.00000,0.0000000000
2021-12-09,1798XX,0.00000,0.0000000000
2021-12-09,1801XX,0.00000,0.0000000000
2021-12-09,1811ZX,0.00000,0.0000000000
2021-12-09,1819XX,0.00000,0.0000000000
2021-12-09,1826XX,0.00000,0.0000000000
2021-12-09,1827XX,0.00000,0.0000000000
2021-12-09,1830XX,0.00000,0.0000000000
2021-12-09,1842YX,0.00000,0.0000000000
2021-12-09,1851ZX,0.00000,0.0000000000
2021-12-09,1857XX,0.00000,0.0000000000
2021-12-09,1872ZX,0.00000,0.0000000000
2021-12-09,1876XX,0.00000,0.0000000000
2021-12-09,1882ZX,1.00000,19950.0000000000
2021-12-09,1902YX,0.00000,0.0000000000
2021-12-09,1906ZX,3.00000,5681.2500000000
