Product_ID,In_Stock_Quantity,Avg_Lead_Time_in_Days,Max_Lead_Time_in_Days,Price_Per_Unit,annual_sales_quantity,annual_Revenue,Revenue_Percent,cumulative_sum,ABC_Analysis,value_in_Inventory,ABC_rank,average_weekly_demand,SD_Weekly_Demand,Coff_Var,Coff_rank,XYZ_Analysis,peak_weekly_demand,Safety_Stock,Reorder_Point,Reorder_Time,Inventory_Status
1308YX,8.00000,45,63.00000,30.00000,822.54187,24676.2561000000,0.00592552577877,99.91863909613804,"C[Low Value]",240.0000000000,264,15.519657924,11.588219881132762,0.7466801096957452,24,"X [Uniform Demand]",51.49042,363.64455048857140,3272.80095439714260000000000,"Yes [Reorder]","Below Reorder point"
1315YX,6.00000,90,131.00000,30.00000,864.30085,25929.0255000000,0.00622635412746,99.84553265300030,"C[Low Value]",180.0000000000,252,16.307563207,12.74263146899604,0.7813939647050566,40,"X [Uniform Demand]",43.08865,596.70463732626040,11166.90106979238616076392560,"Yes [Reorder]","Below Reorder point"
1317YX,4.00000,90,120.00000,30.00000,891.74692,26752.4076000000,0.00642407341841,99.76966731333299,"C[Low Value]",120.0000000000,240,16.825413584,12.558748924872015,0.7464154662334519,23,"X [Uniform Demand]",50.53403,649.97091101954226,11142.35847406360653341182092,"Yes [Reorder]","Below Reorder point"
1317ZX,16.00000,90,144.00000,4908.70000,110.00000,539957.0000000000,0.12966023330118,92.83564692001196,"C[Low Value]",78539.2000000000,104,2.075471698,2.035988069466598,0.9809760698874141,87,"Y [Variable Demand]",9.00000,158.45822102185710,3259.71197523886396241920410,"Yes [Reorder]","Below Reorder point"
1321YX,9.00000,90,137.00000,30.00000,798.03123,23940.9369000000,0.00574895309053,99.94172970978131,"C[Low Value]",270.0000000000,268,15.057193018,11.918905971989652,0.7915755584551046,45,"X [Uniform Demand]",55.31101,888.92299974486671,17397.49299462571003868077141,"Yes [Reorder]","Below Reorder point"
1325XX,6.00000,45,69.00000,30.00000,885.75565,26572.6695000000,0.00638091278899,99.78884329620562,"C[Low Value]",180.0000000000,243,16.712370754,14.634405842979016,0.8756630676994983,76,"Y [Variable Demand]",52.67210,411.75974514533260,4058.77463065945566497923820,"Yes [Reorder]","Below Reorder point"
1326XX,8.00000,90,126.00000,30.00000,847.56921,25427.0763000000,0.00610582073244,99.87630756384798,"C[Low Value]",240.0000000000,257,15.991871886,12.61652062729554,0.7889333229551824,43,"X [Uniform Demand]",47.90387,656.65987860857140,11819.87781495428520000000000,"Yes [Reorder]","Below Reorder point"
1330ZX,8.00000,60,92.00000,6000.00000,50.00000,300000.0000000000,0.07203919939987,96.70749581044463,"C[Low Value]",48000.0000000000,144,0.962264150,1.577701506442783,1.6395721553616884,161,"Z [Uncertain Demand]",8.00000,96.89487870742860,1273.47554864315170396506120,"Yes [Reorder]","Below Reorder point"
1366YX,12.00000,45,67.00000,16900.00000,43.00000,726700.0000000000,0.17450295401294,90.13275089073830,"C[Low Value]",202800.0000000000,86,0.811320754,1.759680543194572,2.1689085784123447,195,"Z [Uncertain Demand]",11.00000,100.07008086242860,957.81363106892942248753060,"Yes [Reorder]","Below Reorder point"
1367ZX,5.00000,90,121.00000,22000.00000,136.88017,3011363.7400000000,0.72312077643797,71.93548801779649,"B[Medium Value]",110000.0000000000,37,2.582644716,2.1742703923512154,0.8418774672649226,67,"Y [Variable Demand]",12.27468,178.97117935694670,3093.64467161367068617360950,"Yes [Reorder]","Below Reorder point"
1373YX,9.00000,45,59.00000,30.00000,841.49367,25244.8101000000,0.00606205302869,99.90062553087115,"C[Low Value]",270.0000000000,261,15.877239056,12.458129984591825,0.7846534237250716,42,"X [Uniform Demand]",50.83885,326.43091318237780,2751.34626806493807818149840,"Yes [Reorder]","Below Reorder point"
1374ZX,4.00000,45,70.00000,30.00000,929.94030,27898.2090000000,0.00669921547017,99.71745146153470,"C[Low Value]",120.0000000000,232,17.546043396,14.137711642118807,0.8057492691111093,50,"X [Uniform Demand]",59.42601,481.46410674000000,4814.64106740000000000000000,"Yes [Reorder]","Below Reorder point"
