SKU ID,Current Stock Quantity,Average Lead Time (days),Maximum Lead Time (days),Unit Price
2501ZX,22117,90,125,35.12175
2508YX,46,60,89,463.1
2513ZX,19,30,44,4805.03
2515YX,8140,30,43,90
2524XX,3996,30,41,14
2528ZX,3996,30,43,21
2539XX,187,30,45,30
2548ZX,86,30,41,30
2555ZX,275,30,44,682.5
2564YX,1340,60,96,309.205
2565ZX,1735,30,40,463.03583
2573ZX,444,60,81,1618.99
2600YX,417,60,80,1467.79
2604ZX,843,30,42,129.04
2606XX,43,60,79,2041.52333
2621XX,1627,60,80,61.78333
2632XX,2670,30,41,185.82
2640YX,2588,60,84,444.45667
2646XX,277,120,157,908.33214
2661ZX,711,120,157,182
2662ZX,173,60,82,2015.43638
2670ZX,292,60,82,4550
2672YX,96,120,171,11375
2673YX,4840,60,95,13
2680YX,4097,45,68,215.57
2714ZX,9014,90,124,49.79846
2727ZX,3923,90,120,21.88943
2729XX,880,90,119,76.518
2752XX,933,45,61,76.502
2763ZX,8782,90,136,10.08731
2766XX,7502,90,126,363.83238
2767XX,3706,45,62,147.86565
2785YX,4220,45,63,34.48244
2803YX,4811,45,67,42.48576
2814YX,4499,90,119,50.49535
2840XX,11008,90,127,8.61042
2847YX,3638,90,118,241.79216
2867XX,265,30,47,297.635
2876ZX,577,30,47,427.425
2884XX,690,15,23,30
2895ZX,470,30,42,30
2923ZX,495,15,22,20.18857
2925ZX,131,30,43,48
2930ZX,233,15,24,20.00833
2935YX,759,15,20,23.495
2938ZX,304,15,24,29.206
2953YX,868,30,41,47.90925
2953ZX,35,30,42,1519.82
2956XX,405,30,47,12.02259
2970ZX,28,60,96,512.205
2977YX,442,60,89,52.8
2982XX,200,30,48,30
2987XX,15,30,43,30
2988XX,29,30,40,9261
2994ZX,12,30,48,12977
3003XX,4,30,44,13182
3006ZX,4,60,79,30
3007ZX,5,30,47,18832.33
3016YX,6,60,79,20005.8
3025ZX,15,30,45,1092.5
3027ZX,27,30,46,1145.83
3038YX,10,15,22,1300
3044XX,28,15,21,1450
3053XX,273,15,23,40.87148
3075XX,233,30,47,60.38
3075YX,438,30,43,31
3079YX,13347,15,24,134.5
3084ZX,44,30,45,2769.81
3098XX,88,15,22,3862.32
3120YX,119,30,42,1534.88
3125XX,144,30,43,119.136
3126YX,190,60,82,30
3132YX,34,15,24,190
3138ZX,241,15,21,376.116
3143ZX,646,30,41,47.764
3160YX,390,30,46,270.909
3161YX,317,30,48,360
3177ZX,11771,30,42,69.45642
3178ZX,4,30,47,26000
3180YX,250,30,46,30
3193XX,687,15,22,1425
3205XX,14,60,91,76300
3239XX,800,30,42,687.5
3249ZX,86,60,87,320
3250ZX,418,60,94,34.75342
3264ZX,930,30,47,30
3271ZX,285,30,40,34.5
3274ZX,0,60,92,30
3276XX,0,30,43,30
3291ZX,0,60,86,30
3296XX,0,30,44,30
3299ZX,0,60,82,30
3300ZX,0,30,42,30
3312XX,0,60,84,30
3322XX,6802,60,90,28.5
3332ZX,0,30,46,30
3345XX,240,40,61,31.06467
3358YX,48,30,40,1363.64
3365ZX,310,30,45,13.3248
3378ZX,1900,15,22,1.5
3399XX,14,40,59,194.753
3404ZX,86,15,24,396.54
3407ZX,4,15,21,1017.592
3413XX,160,30,44,35.3004
3420XX,73,15,20,17.255
3423ZX,72,15,21,29.555
3448ZX,1565,30,40,6.5255
3461ZX,177,15,23,30.064
3462XX,820,30,46,4.1
3494XX,2680,30,42,3.5
3495ZX,427,15,22,39.835
3502YX,376,40,55,1234.335
3512XX,70141,20,31,0.10295
3533ZX,82476,40,64,0.64377
3551ZX,10034,20,31,7.06831
3556XX,262,30,42,1077.43125
3570ZX,416,15,21,1160
3576YX,162,60,96,44.79
3579ZX,116,120,187,86.65
3590YX,145,120,160,115.085
3610XX,275,120,188,156.16
3616ZX,331,120,167,433.1
3619ZX,36357,15,22,0.7455
